216
ARGON
ATOM1	-1.899989	-1.096969	-0.775672
ATOM2	-1.710002	-0.987272	-0.465403
ATOM3	-1.520004	-0.877574	-0.155134
ATOM4	-1.330002	-0.767870	0.155134
ATOM5	-1.140003	-0.658183	0.465403
ATOM6	-0.950009	-0.548490	0.775672
ATOM7	-1.710006	-0.767870	-0.775672
ATOM8	-1.519996	-0.658173	-0.465403
ATOM9	-1.330009	-0.548487	-0.155134
ATOM10	-1.139997	-0.438789	0.155134
ATOM11	-0.950006	-0.329092	0.465403
ATOM12	-0.760004	-0.219401	0.775672
ATOM13	-1.519998	-0.438788	-0.775672
ATOM14	-1.330005	-0.329091	-0.465403
ATOM15	-1.140001	-0.219394	-0.155134
ATOM16	-0.949994	-0.109700	0.155134
ATOM17	-0.760002	-0.000005	0.465403
ATOM18	-0.569998	0.109696	0.775672
ATOM19	-1.330003	-0.109692	-0.775672
ATOM20	-1.140005	-0.000002	-0.465403
ATOM21	-0.949996	0.109690	-0.155134
ATOM22	-0.759993	0.219384	0.155134
ATOM23	-0.569995	0.329095	0.465403
ATOM24	-0.380003	0.438784	0.775672
ATOM25	-1.139996	0.219399	-0.775672
ATOM26	-0.950004	0.329094	-0.465403
ATOM27	-0.760002	0.438793	-0.155134
ATOM28	-0.570004	0.548485	0.155134
ATOM29	-0.379997	0.658175	0.465403
ATOM30	-0.189995	0.767880	0.775672
ATOM31	-0.949996	0.548482	-0.775672
ATOM32	-0.759995	0.658173	-0.465403
ATOM33	-0.570004	0.767883	-0.155134
ATOM34	-0.379996	0.877578	0.155134
ATOM35	-0.190006	0.987270	0.465403
ATOM36	-0.000005	1.096961	0.775672
ATOM37	-1.520001	-1.096963	-0.775672
ATOM38	-1.330002	-0.987271	-0.465403
ATOM39	-1.140006	-0.877578	-0.155134
ATOM40	-0.950004	-0.767882	0.155134
ATOM41	-0.759998	-0.658175	0.465403
ATOM42	-0.570003	-0.548480	0.775672
ATOM43	-1.329998	-0.767880	-0.775672
ATOM44	-1.139996	-0.658177	-0.465403
ATOM45	-0.950004	-0.548480	-0.155134
ATOM46	-0.759993	-0.438785	0.155134
ATOM47	-0.569997	-0.329094	0.465403
ATOM48	-0.379996	-0.219395	0.775672
ATOM49	-1.139996	-0.438781	-0.775672
ATOM50	-0.949995	-0.329092	-0.465403
ATOM51	-0.759994	-0.219391	-0.155134
ATOM52	-0.570004	-0.109700	0.155134
ATOM53	-0.379992	0.000000	0.465403
ATOM54	-0.190008	0.109700	0.775672
ATOM55	-0.950002	-0.109700	-0.775672
ATOM56	-0.760006	0.000002	-0.465403
ATOM57	-0.570006	0.109694	-0.155134
ATOM58	-0.380001	0.219388	0.155134
ATOM59	-0.190006	0.329087	0.465403
ATOM60	0.000003	0.438783	0.775672
ATOM61	-0.759995	0.219399	-0.775672
ATOM62	-0.570007	0.329088	-0.465403
ATOM63	-0.380005	0.438780	-0.155134
ATOM64	-0.190009	0.548489	0.155134
ATOM65	-0.000002	0.658177	0.465403
ATOM66	0.189993	0.767880	0.775672
ATOM67	-0.569997	0.548478	-0.775672
ATOM68	-0.379995	0.658183	-0.465403
ATOM69	-0.190003	0.767870	-0.155134
